Name,Category,Logo URL
Deezer,Entertainment,https://graffica.ams3.digitaloceanspaces.com/2023/11/NCEjrYo7TcXGShCznGE7FR-1200-80.jpg.webp
DigitalOcean,Work,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/DigitalOcean_logo.svg/1200px-DigitalOcean_logo.svg.png
Disney+,Entertainment,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Disney%2B_logo.svg/1280px-Disney%2B_logo.svg.png
Dropbox,Utilities,https://seeklogo.com/images/D/dropbox-logo-5124EA5479-seeklogo.com.png
Dropbox Business,Work,https://seeklogo.com/images/D/dropbox-logo-5124EA5479-seeklogo.com.png
Duolingo Plus,Entertainment,https://seeklogo.com/images/D/duolingo-logo-DB18C5E638-seeklogo.com.png
Evernote,Utilities,https://logos-world.net/wp-content/uploads/2021/03/Evernote-Logo.png
ExpressVPN,Utilities,https://play-lh.googleusercontent.com/CnGsOmhIKfo1_IAnCUxAYXBaxkJ11rQXqPAGU_t29S6nVsrzTx-3OjMWFf2fk_b7u3g
Figma,Work,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Figma-logo.svg/800px-Figma-logo.svg.png
Freshdesk,Work,https://cdn.icon-icons.com/icons2/2699/PNG/512/freshdesk_logo_icon_170121.png
GitHub Copilot,Work,https://seeklogo.com/images/G/github-copilot-logo-C25AFBDF08-seeklogo.com.png
GoDaddy,Utilities,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1mGkOt5_BUZ77gmxvEnDBN7FWSSEv3dtmgw&s
Google Drive,Utilities,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Google_Drive_logo.png/2048px-Google_Drive_logo.png
Google Workspace,Work,https://i0.wp.com/www.sprucely.net/wp-content/uploads/2020/01/google-workspace-logo.png?fit=2000%2C2000&ssl=1
Grammarly,Utilities,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcc-4w3ZxZ4GkRUL-ZZ5U3PxywWaao0RitWg&s
HBO Max,Entertainment,https://i0.wp.com/elpoderdelasideas.com/wp-content/uploads/HBO-Max-logo-2019-elpoderdelasideas2.png?fit=800%2C533&ssl=1
Headspace,Entertainment,https://upload.wikimedia.org/wikipedia/commons/d/d2/Headspace-logo.jpg
Heroku,Work,https://cdn.icon-icons.com/icons2/2407/PNG/512/heroku_icon_146166.png
Hulu,Entertainment,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Hulu_2019.svg/1280px-Hulu_2019.svg.png
iCloud,Utilities,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/ICloud_logo.svg/2560px-ICloud_logo.svg.png
Kaspersky,Utilities,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQV65g4KnzRkPIe0PykStOFigK2PYsTYW7LLA&s
Kindle Unlimited,Entertainment,https://i.imgur.com/55fWS4M.jpg
LastPass,Utilities,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/LastPass_logo.svg/1200px-LastPass_logo.svg.png
LinkedIn Premium,Work,https://blog.waalaxy.com/wp-content/uploads/2021/01/7.svg
Linode,Work,https://bunny-wp-pullzone-lxqw5wyjod.b-cdn.net/wp-content/uploads/2023/11/PartnerPage4.svg
Mailchimp,Work,https://brandemia.org/contenido/subidas/2018/11/mailchimp-960x640.jpg
Microsoft 365,Work,https://www.nexustek.com/wp-content/uploads/2024/08/Microsoft_365_2022.svg.png
MLB.tv,Entertainment,https://pbs.twimg.com/profile_images/1148306380564193280/lfg7mCvJ_400x400.jpg
Monday.com,Work,https://monday.com/p/wp-content/uploads/2024/03/Logo-1-NO-1.png
NBA League Pass,Entertainment,https://cdn.worldvectorlogo.com/logos/nba-league-pass.svg
Netflix,Entertainment,https://static.vecteezy.com/system/resources/previews/019/956/195/non_2x/netflix-transparent-netflix-free-free-png.png
NFL Game Pass,Entertainment,https://pbs.twimg.com/media/FzUCGfwX0AMwXtQ.jpg
NHL.tv,Entertainment,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0bSzFsHipAz1p2d3ZKtnZI5w6EYfqi2dZYw&s
NordVPN,Utilities,https://1000logos.net/wp-content/uploads/2022/08/NordVPN-Emblem.png
Notion,Work,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Notion-logo.svg/2048px-Notion-logo.svg.png
OneDrive,Utilities,https://www.conectasoftware.com/wp-content/uploads/2020/03/OneDrive.png
Pandora,Entertainment,https://brandemia.org/sites/default/files/sites/default/files/pandora_2016_logo.jpg
Paramount+,Entertainment,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Paramount_Plus.svg/1024px-Paramount_Plus.svg.png
Peacock,Entertainment,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTll8Lqa-OZrkRsWKG8n_4PNZYIj3mR1IVWjA&s
Pluto TV,Entertainment,https://play-lh.googleusercontent.com/uYuzRkAmitXSVzx5J3zKJR3WlYKbMr6kffslwSxLiWWGgUIUm6kFB2ZeEjFJLclIZxox
ProtonMail,Utilities,https://static-00.iconduck.com/assets.00/protonmail-icon-2048x2048-7jmccs5b.png
QuickBooks,Work,https://camo.githubusercontent.com/90ce83e7f50e2e1e050555707ae58de2bb9c26e5eec60325c6c1652ecc347942/68747470733a2f2f662e636c6f75642e6769746875622e636f6d2f6173736574732f32393132302f323231303638382f39373962326664632d393939632d313165332d396261362d3933663137626264346130322e6a7067
Shopify,Work,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQf3UC98nksYvNiwSasPLmaDfclI6hC29ZNw&s
Slack,Work,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Slack_icon_2019.svg/1200px-Slack_icon_2019.svg.png
Spotify,Entertainment,https://static.vecteezy.com/system/resources/previews/023/986/494/non_2x/spotify-logo-spotify-logo-transparent-spotify-icon-transparent-free-free-png.png
Squarespace,Utilities,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlciHcptyWWZS8BDr4t2_xAqP5o1_qZAUFwA&s
Stitcher,Entertainment,https://cdn.icon-icons.com/icons2/2108/PNG/512/stitcher_icon_130821.png
Surfshark,Utilities,https://products.eneba.games/drms/surfshark-1710409673.svg
Todoist,Utilities,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSD9iKmFqf4EyAkJ73DoS9cWn3XFRTJvtEc4A&s
Trello,Work,https://cdn.worldvectorlogo.com/logos/trello.svg
Typeform,Work,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtf1IfO0i2k4Z3QpPksJVVo_qVD4BFrmnAsg&s
Vimeo,Work,https://cdn-icons-png.flaticon.com/512/4096/4096329.png
WeTransfer,Utilities,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/WeTransfer_logo.svg/1200px-WeTransfer_logo.svg.png
Wix,Utilities,https://cdn-icons-png.flaticon.com/512/5968/5968753.png
YouTube Premium,Entertainment,https://e7.pngegg.com/pngimages/874/367/png-clipart-youtube-premium-logo-television-youtube-angle-rectangle.png
Zendesk,Work,https://cdn.icon-icons.com/icons2/2429/PNG/512/zendesk_logo_icon_147198.png
Zoom,Work,https://cdn.prod.website-files.com/5ee732bebd9839b494ff27cd/5eefe1691c86f247d55e8a8b_Zoom-App-Icon-2.webp
